created_at,id,name,text,user_id,screen_name,location
Thu Feb 21 15:39:54 +0000 2019,1.09861E+18,BGirl,"seriously???? buying votes with our money hey groper?? btw, when are you going to pay back ontario taxpayers for th… ",9.86951E+17,bgirl0001,
,,,,,,
Thu Feb 21 15:39:55 +0000 2019,1.09861E+18,HotMess,my prayers are with you.,1.06856E+18,InTwoPiece,Canada
,,,,,,
Thu Feb 21 15:40:00 +0000 2019,1.09861E+18,Don Nadon,"rt : in times of tragedy, canadians are there for each other. 
",1.07937E+18,DonNadon9,"Ontario, Canada"
,,,,,,
Thu Feb 21 15:40:04 +0000 2019,1.09861E+18,Miss Tammy,canadians have to be for each other you are certainly not here or anywhere supporting canadians! your a lying p.o.s… ,267331036,mack3636,"Strathcona County, Alberta"
,,,,,,
Thu Feb 21 15:40:09 +0000 2019,1.09861E+18,Writers' Fed of NS,"have you heard? there's a new section of the popular wfns fiction workshop, first words: fiction, coming to halifax… ",90469216,WFNS,"Halifax, Nova Scotia"
,,,,,,
Thu Feb 21 15:40:09 +0000 2019,1.09861E+18,Simona Trudeau,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",1.05092E+18,stupronato,
,,,,,,
Thu Feb 21 15:40:28 +0000 2019,1.09861E+18,CANQFan,"rt : when the polls in atlantic canada tell trudeau he’s going to lose some 15 seats, this is his response. …",272185215,Jennyseyes,Alberta
,,,,,,
Thu Feb 21 15:40:28 +0000 2019,1.09861E+18,Julian,"rt : in times of tragedy, canadians are there for each other. 
",1463378426,julian78parra,"Toronto, Ontario"
,,,,,,
Thu Feb 21 15:40:31 +0000 2019,1.09861E+18,Diana Martinez,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",29577894,DianaEsther,everywhere
,,,,,,
Thu Feb 21 15:40:32 +0000 2019,1.09861E+18,De Izquierda,"rt : in times of tragedy, canadians are there for each other. 
",225618759,kishkafka,"Middletown, USA"
,,,,,,
Thu Feb 21 15:40:40 +0000 2019,1.09861E+18,CanadianBankingVictims.FightBack," .
bank lobbying scams

same as 
.
 pay for play 
.
spread the word 100x la… ",1.09253E+18,BankersWatchDog,Canada
,,,,,,
Thu Feb 21 15:40:51 +0000 2019,1.09861E+18,caborradaile@hotmail.com,"rt : in times of tragedy, canadians are there for each other. 
",1.06236E+18,caborradaileho1,Canada
,,,,,,
Thu Feb 21 15:40:52 +0000 2019,1.09861E+18,MEL D,"rt : in times of tragedy, canadians are there for each other. 
",3853472669,TIAMACHES,
,,,,,,
Thu Feb 21 15:41:14 +0000 2019,1.09861E+18,Shelly Tognazzini,"rt : danielle chaisson, a friend of the syrian refugee family that lost seven children in a fire in halifax tuesday, opens u…",49774008,stognazzini,"Vancouver, B.C."
,,,,,,
Thu Feb 21 15:41:26 +0000 2019,1.09861E+18,Jake Reid," the lego-block, boxy look is in. halifax library has won several awards. ",111127530,JakeAReid,"Fredericton, Atlantic Canada"
,,,,,,
Thu Feb 21 15:41:27 +0000 2019,1.09861E+18,syed syed’s,"rt : in times of tragedy, canadians are there for each other. 
",1.02944E+18,syedsyeds6,United States
,,,,,,
Thu Feb 21 15:41:28 +0000 2019,1.09861E+18,Brady J,pm joins hundreds in halifax square to remember 7 refugee children lost in fire | the chronicle herald ,18690262,bradyjprimes,Canada
,,,,,,
Thu Feb 21 15:41:32 +0000 2019,1.09861E+18,Jim Joyce," did the boys on  tell you the boot guy from halifax, nova scotia said hello?",1165891975,JimJoyce23,
,,,,,,
Thu Feb 21 15:41:40 +0000 2019,1.09861E+18,Eden Boudreau,,2599904725,edenboudreau,"Toronto, Ontario"
,,,,,,
Thu Feb 21 15:42:08 +0000 2019,1.09861E+18,thriftygamer83 (Joseph Ziehm),"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",1.08007E+18,thriftygamer83,"Maine, USA"
,,,,,,
Thu Feb 21 15:42:18 +0000 2019,1.09861E+18,Chris McGee,"rt : in times of tragedy, canadians are there for each other. 
",120867493,seeteegee,"Ottawa, Ontario"
,,,,,,
Thu Feb 21 15:42:24 +0000 2019,1.09861E+18,Ahmed,best pm in the world,182064038,aeq8_T6ix,Kuwait/Canada
,,,,,,
Thu Feb 21 15:42:35 +0000 2019,1.09861E+18,Hannibal Barca,"rt : in times of tragedy, canadians are there for each other. 
",150772913,The_Nifemi,Lagos | Manchester | New York
,,,,,,
Thu Feb 21 15:42:37 +0000 2019,1.09861E+18,MrsMunch289,"rt : seriously???? buying votes with our money hey groper?? btw, when are you going to pay back ontario taxpayers for the cost of…",9.80189E+17,munch289,Ontario
,,,,,,
Thu Feb 21 15:42:38 +0000 2019,1.09861E+18,Kristi E,"rt : in times of tragedy, canadians are there for each other. 
",4745735986,kristi_jmh,Universe
,,,,,,
Thu Feb 21 15:42:41 +0000 2019,1.09861E+18,nomoreslaves,"rt : in times of tragedy, canadians are there for each other. 
",14116906,nomoreslaves,"Berlin, Germany"
,,,,,,
Thu Feb 21 15:42:46 +0000 2019,1.09861E+18,Emma,rt _life: hey  students!! sign up now to support you  basketball teams at the _sua championships in…,529769941,emmadrohan31,
,,,,,,
Thu Feb 21 15:42:46 +0000 2019,1.09861E+18,Andrew McKinnon,"rt : in times of tragedy, canadians are there for each other. 
",510905039,AndyMcDandyCDN,Oshawa
,,,,,,
Thu Feb 21 15:42:55 +0000 2019,1.09861E+18,CanadianBankingVictims.FightBack,"  .
bank lobbying scams

same as 
.
 pay for play 
.
spread the w… ",1.09253E+18,BankersWatchDog,Canada
,,,,,,
Thu Feb 21 15:42:56 +0000 2019,1.09861E+18,Halifax City NSTU,"rt : 

",376378471,HalifaxCityNSTU,
,,,,,,
Thu Feb 21 15:43:17 +0000 2019,1.09861E+18,Tinka Opala,"rt : in times of tragedy, canadians are there for each other. 
",472987835,TinkaOpala,"Toronto, Ontario"
,,,,,,
Thu Feb 21 15:43:25 +0000 2019,1.09861E+18,GX94 Radio,prime minister trudeau attended a vigil for 7 children killed in a halifax fire. details at 10:00 with gx94 news.,829719163,GX94Radio,"Yorkton, Saskatchewan"
,,,,,,
Thu Feb 21 15:43:33 +0000 2019,1.09861E+18,Paul Morris, will the snow be over in urban halifax before the evening commute?,9.08069E+17,imagesbypdm,"Bedford, Nova Scotia"
,,,,,,
Thu Feb 21 15:43:34 +0000 2019,1.09861E+18,Kyra Mullen,"rt : in times of tragedy, canadians are there for each other. 
",2184686828,KyraMullen,
,,,,,,
Thu Feb 21 15:43:39 +0000 2019,1.09861E+18,Canada 1st,it won't work jt.. canadians know who you really are... a lot  more truths will be coming out of how dirty your han… ,9.63984E+17,SandraShea17,"Kent, British Columbia"
,,,,,,
Thu Feb 21 15:43:42 +0000 2019,1.09861E+18,Sandra Girardau,"rt : seriously???? buying votes with our money hey groper?? btw, when are you going to pay back ontario taxpayers for the cost of…",1.06285E+18,SGirardau,Calgary Alberta
,,,,,,
Thu Feb 21 15:43:47 +0000 2019,1.09861E+18,Valentina Guzmán,"tragedia en halifax, costa este de canadá. 7 niños murieron en un devastador incendio durante el día de ayer.",91363943,ValentinaGuzman,
,,,,,,
Thu Feb 21 15:43:53 +0000 2019,1.09861E+18,caborradaile@hotmail.com,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",1.06236E+18,caborradaileho1,Canada
,,,,,,
Thu Feb 21 15:43:53 +0000 2019,1.09861E+18,Karl Saidla,justin trudeau announces up to $86.5-million for halifax expressway improvements  … ,8.14953E+17,KarlSaidla,"Chelsea, Quebec (near Ottawa)"
,,,,,,
Thu Feb 21 15:44:07 +0000 2019,1.09861E+18,Kyra Mullen,rt : pm joins hundreds in halifax square to remember 7 refugee children lost in fire ,2184686828,KyraMullen,
,,,,,,
Thu Feb 21 15:44:07 +0000 2019,1.09861E+18,995mu,"you speak with a forked tongue.
   .",400419867,995mu,
,,,,,,
Thu Feb 21 15:44:09 +0000 2019,1.09861E+18,Amanda Gillies,rt : pleased to be at the  conference in halifax working with our new partner !  https://…,9.30905E+17,MandaGillies_,"Moncton, New Brunswick"
,,,,,,
Thu Feb 21 15:44:15 +0000 2019,1.09861E+18,NSLegalAid,"rt _news: the snow is swirling, especially here in halifax. be sure to call ahead if you have a court matter scheduled today (feb…",3889869381,NSLegalAid,"Nova Scotia, Canada"
,,,,,,
Thu Feb 21 15:44:20 +0000 2019,1.09861E+18,Shahzad G Hussain,7 children in syrian refugee family die in fire in canada ,299791646,TC1973,United Kingdom
,,,,,,
Thu Feb 21 15:44:34 +0000 2019,1.09861E+18,Rémi Massé,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",2555873100,Remi_Masse1,
,,,,,,
Thu Feb 21 15:44:52 +0000 2019,1.09861E+18,Marc Miller,"rt : in times of tragedy, canadians are there for each other. 
",1882871270,MarcMillerVM,
,,,,,,
Thu Feb 21 15:44:54 +0000 2019,1.09861E+18,CanadianBankingVictims.FightBack," .
bank lobbying scams

same as 
.
 pay for play 
.
spread the word 100x large… ",1.09253E+18,BankersWatchDog,Canada
,,,,,,
Thu Feb 21 15:44:57 +0000 2019,1.09861E+18,Graham Brown,rt : beep beep! the  final 8 men’s national championship  ascent has continued its journey around the city…,215307708,USPORTSca_CEO,"Richmond Hill, Ontario, CANADA"
,,,,,,
Thu Feb 21 15:45:04 +0000 2019,1.09861E+18,joan barnes,"rt : in times of tragedy, canadians are there for each other. 
",112327585,lifeinanorthern,Dawson Creek BC
,,,,,,
Thu Feb 21 15:45:05 +0000 2019,1.09861E+18,Marc Miller,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",1882871270,MarcMillerVM,
,,,,,,
Thu Feb 21 15:45:14 +0000 2019,1.09861E+18,adrian furness,rt : case study: 'talent and diversity makes  a great location for delivering our ambitious expansion plans' says adrian…,2264255093,FurnessAdrian,
,,,,,,
Thu Feb 21 15:45:20 +0000 2019,1.09861E+18,Sebastien Levesque,"rt : voici l’horaire officiel de la coupe memorial, présentée par kia, à halifax en mai prochain. toutes les heures sont local…",479966498,seblev3,
,,,,,,
Thu Feb 21 15:45:22 +0000 2019,1.09861E+18,Christian Jiménez,"rt : in times of tragedy, canadians are there for each other. 
",1278847069,JimnezYa,Costa Rica (paz y democracia)
,,,,,,
Thu Feb 21 15:45:24 +0000 2019,1.09861E+18,Donna Gillis,rt : prime minister announces up to $86.5 million for burnside connector. ,20917723,DonnaGillis,Nova Scotia
,,,,,,
Thu Feb 21 15:45:33 +0000 2019,1.09861E+18,Me,"rt : in times of tragedy, canadians are there for each other. 
",2447709852,This0neIsNo0ne,Deutschland
,,,,,,
Thu Feb 21 15:45:35 +0000 2019,1.09861E+18,Cindy Gail Prince,"rt : in times of tragedy, canadians are there for each other. 
",44496262,cindyrellapr,"Missouri, USA"
,,,,,,
Thu Feb 21 15:45:36 +0000 2019,1.09861E+18,Me,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",2447709852,This0neIsNo0ne,Deutschland
,,,,,,
Thu Feb 21 15:45:36 +0000 2019,1.09861E+18,Parti libéral,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",16397838,parti_liberal,Canada
,,,,,,
Thu Feb 21 15:45:39 +0000 2019,1.09861E+18,Liberal Party,"rt : in times of tragedy, canadians are there for each other. 
",16397147,liberal_party,Canada
,,,,,,
Thu Feb 21 15:45:43 +0000 2019,1.09861E+18,Marwa Shalabi,"rt : in times of tragedy, canadians are there for each other. 
",3320206482,MarwaMadinah,"Hamilton, Ontario"
,,,,,,
Thu Feb 21 15:46:06 +0000 2019,1.09861E+18,Norm Breest,"rt : in times of tragedy, canadians are there for each other. 
",44676325,nbreest,Phoenix
,,,,,,
Thu Feb 21 15:46:09 +0000 2019,1.09861E+18,Fraud SZN,"rt : in times of tragedy, canadians are there for each other. 
",315859064,HardTimesofDriz,"Alberta, Canada"
,,,,,,
Thu Feb 21 15:46:21 +0000 2019,1.09861E+18,Stirling Bryan,rt : registration is live for the may 2019 annual  conference in halifax! click on the link to register now: …,302776887,StirlingBryan,"Vancouver, British Columbia"
,,,,,,
Thu Feb 21 15:46:28 +0000 2019,1.09861E+18,Halifax Transit,this snow plan has been lifted in both directions. ,389593324,hfxtransit,"Halifax, Nova Scotia"
,,,,,,
Thu Feb 21 15:46:31 +0000 2019,1.09861E+18,Yorkie, halifax and leeds were once building societies.  i'll get me coat.,1292435803,SJYorkie,"Broxburn, Scotland"
,,,,,,
Thu Feb 21 15:46:33 +0000 2019,1.09861E+18,Inga,vigil held in halifax for seven syrian refugee children killed in house fire  ,7.12478E+17,inga_mckay,"Niagara Falls, Ontario"
,,,,,,
Thu Feb 21 15:46:35 +0000 2019,1.09861E+18,Patate Lagressé,"_hogue oui, c'est d'une tristesse incommensurable, je trouve que les médias ont peu couvert cette nouvelle.

m… ",9.66113E+17,lobster_bear,Où Desmarais me dit d’aller
,,,,,,
Thu Feb 21 15:46:36 +0000 2019,1.09861E+18,Karena,"rt : in times of tragedy, canadians are there for each other. 
",32490080,MyKarenas,
,,,,,,
Thu Feb 21 15:46:39 +0000 2019,1.09861E+18,eduardo r borges,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",310867825,josededu5,
,,,,,,
Thu Feb 21 15:46:43 +0000 2019,1.09861E+18,CartridgeBros,"rt : in times of tragedy, canadians are there for each other. 
",1063495112,CartridgeBros,
,,,,,,
Thu Feb 21 15:46:47 +0000 2019,1.09861E+18,Dr. Christine Chambers,"rt : are you a first-time mom?

have you given birth in the past 2 months at the iwk health centre in halifax?

if so, contact m…",1182761232,DrCChambers,"Halifax, Nova Scotia"
,,,,,,
Thu Feb 21 15:46:56 +0000 2019,1.09861E+18,Inga,"rt : there is a lot of love here.
our hearts go out to the barho family and their loved ones. 
  …",7.12478E+17,inga_mckay,"Niagara Falls, Ontario"
,,,,,,
Thu Feb 21 15:47:02 +0000 2019,1.09861E+18,DRode,"rt : in times of tragedy, canadians are there for each other. 
",2636340443,debr3322,
,,,,,,
Thu Feb 21 15:47:10 +0000 2019,1.09861E+18,Antonello Fiore,"rt : in times of tragedy, canadians are there for each other. 
",842900624,FioreAntonello,Montreal
,,,,,,
Thu Feb 21 15:47:11 +0000 2019,1.09861E+18,Doug,rt : the hiding needs to come to an end. trudeau needs to be a man like harper was and waive privilege. not to mention if noth…,262476027,Spiderrico46,"Nanaimo, British Columbia"
,,,,,,
Thu Feb 21 15:47:11 +0000 2019,1.09861E+18,Jessie Bahrey,"rt : in times of tragedy, canadians are there for each other. 
",1268149806,JessieBahrey,
,,,,,,
Thu Feb 21 15:47:15 +0000 2019,1.09861E+18,Antonello Fiore,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",842900624,FioreAntonello,Montreal
,,,,,,
Thu Feb 21 16:20:39 +0000 2019,1.09862E+18,Michael Stoneman,rt : sympathies are pouring in to stricken mother kawthar barho after tragic halifax fire: 'it would be hard enough to lose one ch…,2254182192,Mikethebike_641,"Kingston, ON"
,,,,,,
Thu Feb 21 16:20:43 +0000 2019,1.09862E+18,Joan Small,rt : tva nouvelles deletes a facebook post about a fire in halifax that killed seven syrian refugee children because it couldn’t h…,2307989159,JTracySmall,"Quispamsis, New Brunswick"
,,,,,,
Thu Feb 21 16:20:57 +0000 2019,1.09862E+18,Chatelaine,rt : sympathies are pouring in to stricken mother kawthar barho after tragic halifax fire: 'it would be hard enough to lose one ch…,28179079,Chatelaine,Canada
,,,,,,
Thu Feb 21 16:21:01 +0000 2019,1.09862E+18,Cathy Williams,"rt : 11am: 5cm has fallen at my halifax location.  there is a much lighter variety of snow over sw nb and sw ns, so the rate…",43589172,cjwilliams9,"Halifax, NS, Canada"
,,,,,,
Thu Feb 21 16:21:15 +0000 2019,1.09862E+18,Paul Fraser,"almost a decade fighting this $600,000 corporate fraud. 
i want answers!
i want justice!
 …… ",18230375,PaulGFraser,"New Waterford, Cape Breton"
,,,,,,
Thu Feb 21 16:21:26 +0000 2019,1.09862E+18,Tana Kidad,rt : even in the snow there is a lineup at  today all profits go to the   …,580433838,Tana_mx,
,,,,,,
Thu Feb 21 16:21:41 +0000 2019,1.09862E+18,Global Halifax,a former halifax taxi driver facing a high-profile retrial for sexual assault has been committed to stand trial for… ,31147535,globalhalifax,Atlantic Canada
,,,,,,
Thu Feb 21 16:21:46 +0000 2019,1.09862E+18,Greg MacEachern,rt :  halifax small businesses! the deadline to apply for our  program is tomorrow! 12 months of free training…,19203412,gmacofglebe,"Ottawa, Ontario"
,,,,,,
Thu Feb 21 16:21:47 +0000 2019,1.09862E+18,National Fire Equip.,rt _brian: very sad day in halifax.  the damage and devastation to the home shows how violent and fast spreading residential fires a…,367753933,NationalFireCan,"Concord, Ontario, Canada"
,,,,,,
Thu Feb 21 16:21:50 +0000 2019,1.09862E+18,My testing account,rt _data_test: what are parking rates? ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:21:51 +0000 2019,1.09862E+18,Yorkshire Gallery,rt : who's ready for the return of the uk's biggest food festival?  is back this summer !  huge thank…,8.57001E+17,TheYorkshireG,The Piece Hall
,,,,,,
Thu Feb 21 16:21:53 +0000 2019,1.09862E+18,My testing account,rt _data_test: parks are good for summer ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:21:53 +0000 2019,1.09862E+18,Ahsan Khan,a syrian refugee family lost their 7 children in a house fire in halifax canada.,1.02521E+18,AhsanKh08130378,Canada
,,,,,,
Thu Feb 21 16:21:54 +0000 2019,1.09862E+18,Local Yokel,rt : quick stop in halifax to see the piece hall. ,420404112,_LocalYokel,"Calderdale, UK"
,,,,,,
Thu Feb 21 16:21:56 +0000 2019,1.09862E+18,My testing account,rt _data_test: buses are on time ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:21:58 +0000 2019,1.09862E+18,Gary Gelinas,"rt : when the polls in atlantic canada tell trudeau he’s going to lose some 15 seats, this is his response. …",272160395,GMAN0444,Edmonton alberta
,,,,,,
Thu Feb 21 16:22:00 +0000 2019,1.09862E+18,abdulsalam,"rt : in times of tragedy, canadians are there for each other. 
",2333941590,abdusalammian,"LaSalle, Ontario"
,,,,,,
Thu Feb 21 16:22:01 +0000 2019,1.09862E+18,My testing account,rt _data_test: pollution is low here ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:03 +0000 2019,1.09862E+18,Samuel Erskine,rt : this is bloody excellent news! well done ! ,298887925,SamuelErskine,Liverpool
,,,,,,
Thu Feb 21 16:22:04 +0000 2019,1.09862E+18,My testing account,rt _data_test: immigrant ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:08 +0000 2019,1.09862E+18,My testing account,rt _data_test: bad school ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:11 +0000 2019,1.09862E+18,My testing account,rt _data_test: good school ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:13 +0000 2019,1.09862E+18,My testing account,rt _data_test: no snow storm today! ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:18 +0000 2019,1.09862E+18,My testing account,rt _data_test: samsung fold is too expensive ! ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:22 +0000 2019,1.09862E+18,My testing account,rt _data_test: twitter is user friendly ! ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:23 +0000 2019,1.09862E+18,Halifax Seaport,"rt : we're hiring! check out our posting for sales representative, hrm here:   …",280625118,HalifaxSeaport,"Halifax, Nova Scotia"
,,,,,,
Thu Feb 21 16:22:27 +0000 2019,1.09862E+18,My testing account,"rt _data_test: after long waiting , this is working! ",1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:30 +0000 2019,1.09862E+18,My testing account,rt _data_test: this account is not accident. ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:33 +0000 2019,1.09862E+18,My testing account,rt _data_test: it is safe to setup good password! ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:36 +0000 2019,1.09862E+18,My testing account,rt _data_test: it is not safe setup bad password! ,1.09861E+18,my_data_test,
,,,,,,
Thu Feb 21 16:22:37 +0000 2019,1.09862E+18,Canadanewsmedia,morning update: what wilson-raybould told cabinet; halifax mourns children killed in fire - the globe and mail on c… ,9.53886E+17,canadanewsmedia,"Toronto, Ontario"
,,,,,,
Thu Feb 21 16:22:43 +0000 2019,1.09862E+18,onenighter_ca,"rt : the weather outside is chilly, but it's oh so warm in here... 
if the snow isn't stopping you, i am available till 10p…",1.03855E+18,Onenighter_Ca,"Toronto, Ontario"
,,,,,,
Thu Feb 21 16:22:45 +0000 2019,1.09862E+18,National Fire Equip.,rt : this is such a tragic loss of life.  my thoughts go out to the firefighters and other first responders that gave everythin…,367753933,NationalFireCan,"Concord, Ontario, Canada"
,,,,,,
Thu Feb 21 16:22:53 +0000 2019,1.09862E+18,ruthko,"rt : in times of tragedy, canadians are there for each other. 
",1454928205,ruthmkb,
,,,,,,
Thu Feb 21 16:23:01 +0000 2019,1.09862E+18,Laura-Lee Cumming,rt : pm joins hundreds in halifax square to remember 7 refugee children lost in fire ,2827305973,acelucky1597,"Winnipeg, Manitoba"
,,,,,,
Thu Feb 21 16:23:01 +0000 2019,1.09862E+18,Polak,que hubiera pasado si halifax hubiera pactado con hitler... ¿que mundo tendriamos hoy? ideas,574127214,o_polaco,CABA
,,,,,,
